2026-01-19T22:43:01.434784 | INFO     | resource_manager | Initialized resource manager with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:43:01.434818 | INFO     | wrapper      | Initialized MicrosandboxWrapper with config: WrapperConfig(session_timeout=180s, max_sessions=5, default_flavor=small, orphan_cleanup_interval=60s, volume_mappings=1 mappings)
2026-01-19T22:43:01.434845 | INFO     | wrapper      | Starting MicrosandboxWrapper
2026-01-19T22:43:01.434881 | INFO     | session_manager | Started session manager cleanup task
2026-01-19T22:43:01.434912 | INFO     | resource_manager | Started resource manager orphan cleanup task
2026-01-19T22:43:01.434939 | INFO     | wrapper      | MicrosandboxWrapper started successfully
2026-01-19T22:43:01.435446 | INFO     | wrapper      | Wrapper initialized
2026-01-19T22:43:01.438515 | INFO     | session_manager | Started session cleanup loop with interval 60s, session timeout 180s
2026-01-19T22:43:01.438637 | INFO     | resource_manager | Started orphan cleanup loop with interval 60s
2026-01-19T22:44:01.441913 | INFO     | resource_manager | Resource event: orphan_cleanup_started
2026-01-19T22:44:01.511998 | INFO     | resource_manager | Resource event: running_sandboxes_discovered
2026-01-19T22:44:01.512251 | INFO     | resource_manager | Resource event: active_sessions_analyzed
2026-01-19T22:44:01.512312 | INFO     | resource_manager | Resource event: orphan_cleanup_completed
2026-01-19T22:44:57.902815 | INFO     | wrapper      | Server lifespan ending
2026-01-19T22:44:58.169192 | INFO     | wrapper      | Logging configured - Level: INFO, File: logs/server.log
2026-01-19T22:44:58.601069 | INFO     | wrapper      | Logging configured - Level: INFO, File: logs/server.log
2026-01-19T22:44:58.601166 | INFO     | wrapper      | Starting MCP Server on localhost:8776
2026-01-19T22:44:58.601831 | INFO     | wrapper      | Route: /mcp -> None
2026-01-19T22:44:58.601940 | INFO     | wrapper      | Mounted app routes: [Route(path='/mcp', name='StreamableHTTPASGIApp', methods=[])]
2026-01-19T22:44:58.629347 | INFO     | wrapper      | Server lifespan started
